lon,lat
-73.96100098171999,40.80884624342468
-73.95863603604778,40.80979197788011
-73.96099919361767,40.80656452067589
-73.96224515354513,40.80542584800676
-73.96416286388092,40.802895877222284
-73.96529372015077,40.80131264486005
-73.9618474883232,40.80031789779818
-73.96293109869612,40.79951713976817
-73.96282789770808,40.79903863340758
-73.961679786718,40.798901916670985
-73.96325360178335,40.79838434361767
-73.96283332449146,40.79439049393801
-73.96765495628667,40.792169081529266
-73.96973319533566,40.79696829866023
-73.9673262385638,40.798718106143696
-73.96635199415552,40.7999617429256
-73.96822385241022,40.8010756236159
-73.96814001230706,40.802805036369506
-73.96686145073552,40.80324928191263
-73.95272882414744,40.80057602543798
-73.95142765967854,40.80007424814366
-73.94859101921391,40.797550451734764
-73.96820947703121,40.79298769005064
-73.95935775904326,40.80124946667118
-73.95876261427419,40.801013353928454
-73.96120965014094,40.80116484275044
-73.96088708127171,40.8014447543903
-73.96155188784411,40.801367332139534
-73.9529350641919,40.79848003813464
